"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043588","skin development","25/225","324/18986",0.0771604938271605,6.51097393689986,10.9569665986476,1.19959700540029e-13,3.6767648215519e-10,3.06086646430559e-10,"3675/1001/64834/5663/3655/55612/79152/4233/3694/3691/3855/1969/6768/94234/2125/5017/5970/3728/2810/5339/11187/3868/2707/1364/10626",25
"GO:0097191","extrinsic apoptotic signaling pathway","20/225","236/18986",0.0847457627118644,7.15103578154426,10.4129117302044,6.92864750128209e-12,1.06181522957148e-08,8.83949554900409e-09,"1495/2950/2017/3655/8797/3875/8795/3958/64114/8915/6934/51304/3429/4088/3856/598/5499/5970/6714/51703",20
"GO:0008544","epidermis development","23/225","393/18986",0.0585241730279898,4.93839977381962,8.63992368472329,3.24926047539078e-10,3.31966111902424e-07,2.76358154117447e-07,"3909/3918/1001/1308/64834/55612/79152/4233/3855/1969/6768/94234/2125/3866/5017/5970/2810/5339/11187/3868/1364/3914/10626",23
"GO:0045216","cell-cell junction organization","17/225","218/18986",0.0779816513761468,6.58026503567788,9.07491662753144,1.00516044765036e-09,7.7020419301209e-07,6.41186559238021e-07,"1495/1001/27134/64065/84612/1948/1969/389/50848/55765/2150/4088/3728/5339/11187/1364/6714",17
"GO:0007015","actin filament organization","24/225","465/18986",0.0516129032258065,4.35521146953405,8.02200126942326,1.64071287628924e-09,1.0057569931653e-06,8.37281686763183e-07,"55971/822/2017/4233/6385/7408/1729/85415/50853/29766/7170/389/8407/50848/2150/382/4088/54961/29984/5339/4070/6714/6281/64423",24
"GO:0150115","cell-substrate junction organization","12/225","103/18986",0.116504854368932,9.83093851132686,9.84143763468891,3.3881609908572e-09,1.73078557282955e-06,1.44086004242769e-06,"3909/1308/2017/3655/6385/3691/382/4088/29984/5339/6714/6281",12
"GO:0007173","epidermal growth factor receptor signaling pathway","12/225","114/18986",0.105263157894737,8.88233918128655,9.24415350612364,1.0914921107555e-08,4.77917617066516e-06,3.9786118443178e-06,"64285/5329/9961/9052/5663/5753/2064/5899/84985/7039/222584/6714",12
"GO:0072659","protein localization to plasma membrane","18/225","295/18986",0.0610169491525424,5.14874576271186,7.86466320432062,1.56672592811171e-08,6.00251871207797e-06,4.9970311180826e-06,"3675/23555/3875/8673/3958/64114/1969/55625/25921/50848/51304/382/783/598/3728/2810/11187/6281",18
"GO:0007044","cell-substrate junction assembly","11/225","96/18986",0.114583333333333,9.6687962962963,9.32496055564027,1.84878807821278e-08,6.29615051080242e-06,5.24147637612607e-06,"3909/1308/2017/3655/6385/3691/4088/29984/5339/6714/6281",11
"GO:0110053","regulation of actin filament organization","17/225","273/18986",0.0622710622710623,5.25457061457062,7.75414501904516,2.95834182707452e-08,8.74139548976178e-06,7.27711605295186e-06,"55971/822/2017/4233/6385/7408/85415/50853/29766/389/50848/2150/382/4088/54961/4070/6281",17
