"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060512","prostate gland morphogenesis","1/1","28/18986",0.0357142857142857,678.071428571429,26.0205962378157,0.0014747708838091,0.0231749710312864,NA,"5268",1
"GO:0030850","prostate gland development","1/1","49/18986",0.0204081632653061,387.469387755102,19.6588246788841,0.00258084904666589,0.0231749710312864,NA,"5268",1
"GO:0001655","urogenital system development","1/1","66/18986",0.0151515151515152,287.666666666667,16.9312334656004,0.00347624565469296,0.0231749710312864,NA,"5268",1
"GO:0010951","negative regulation of endopeptidase activity","1/1","109/18986",0.00917431192660551,174.183486238532,13.1599196896688,0.00574107236911392,0.0242986059903788,NA,"5268",1
"GO:0022612","gland morphogenesis","1/1","127/18986",0.0078740157480315,149.496062992126,12.1858960684935,0.00668913936584858,0.0242986059903788,NA,"5268",1
"GO:0010466","negative regulation of peptidase activity","1/1","198/18986",0.00505050505050505,95.8888888888889,9.74109279746831,0.0104287369640786,0.0242986059903788,NA,"5268",1
"GO:0052548","regulation of endopeptidase activity","1/1","248/18986",0.00403225806451613,76.5564516129032,8.69232141679674,0.0130622563994522,0.0242986059903788,NA,"5268",1
"GO:0051346","negative regulation of hydrolase activity","1/1","252/18986",0.00396825396825397,75.3412698412698,8.62213835665317,0.0132729379542819,0.0242986059903788,NA,"5268",1
"GO:0045861","negative regulation of proteolysis","1/1","303/18986",0.0033003300330033,62.6600660066007,7.85239237472254,0.0159591277783629,0.0242986059903788,NA,"5268",1
"GO:0048608","reproductive structure development","1/1","309/18986",0.00323624595469256,61.4433656957929,7.77453314970056,0.016275150110608,0.0242986059903788,NA,"5268",1
"GO:0061458","reproductive system development","1/1","313/18986",0.00319488817891374,60.6581469648562,7.72386865274496,0.0164858316654375,0.0242986059903788,NA,"5268",1
"GO:0030198","extracellular matrix organization","1/1","339/18986",0.00294985250737463,56.0058997050147,7.41659623446057,0.0178552617718319,0.0242986059903788,NA,"5268",1
"GO:0043062","extracellular structure organization","1/1","340/18986",0.00294117647058824,55.8411764705882,7.40548286545774,0.0179079321605393,0.0242986059903788,NA,"5268",1
"GO:0045229","external encapsulating structure organization","1/1","341/18986",0.00293255131964809,55.6774193548387,7.39441812145072,0.0179606025492467,0.0242986059903788,NA,"5268",1
"GO:0052547","regulation of peptidase activity","1/1","346/18986",0.00289017341040462,54.8728323699422,7.33981146692081,0.0182239544927841,0.0242986059903788,NA,"5268",1
"GO:0050678","regulation of epithelial cell proliferation","1/1","406/18986",0.00246305418719212,46.7635467980296,6.76487596324054,0.0213841778152323,0.0263351943537343,NA,"5268",1
"GO:0048732","gland development","1/1","450/18986",0.00222222222222222,42.1911111111111,6.41803015816466,0.0237016749183606,0.0263351943537343,NA,"5268",1
"GO:0050673","epithelial cell proliferation","1/1","482/18986",0.0020746887966805,39.3900414937759,6.19596977831364,0.0253871273569999,0.0263351943537343,NA,"5268",1
"GO:0043086","negative regulation of catalytic activity","1/1","486/18986",0.00205761316872428,39.0658436213992,6.16975231442877,0.0255978089118297,0.0263351943537343,NA,"5268",1
"GO:0002009","morphogenesis of an epithelium","1/1","500/18986",0.002,37.972,6.08046050887595,0.0263351943537343,0.0263351943537343,NA,"5268",1
