"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035384","thioester biosynthetic process","2/6","50/18986",0.04,126.573333333333,15.8077887787701,0.000101270583120883,0.00855736427371457,0.00378432179030666,"27010/9374",2
"GO:0071616","acyl-CoA biosynthetic process","2/6","50/18986",0.04,126.573333333333,15.8077887787701,0.000101270583120883,0.00855736427371457,0.00378432179030666,"27010/9374",2
"GO:0006637","acyl-CoA metabolic process","2/6","99/18986",0.0202020202020202,63.9259259259259,11.1608826993816,0.000398276170435784,0.0168271682009119,0.00744147581603701,"27010/9374",2
"GO:0035383","thioester metabolic process","2/6","99/18986",0.0202020202020202,63.9259259259259,11.1608826993816,0.000398276170435784,0.0168271682009119,0.00744147581603701,"27010/9374",2
"GO:0043604","amide biosynthetic process","2/6","175/18986",0.0114285714285714,36.1638095238095,8.30886730862586,0.00123668752488195,0.0376469146027241,0.0166485888308527,"27010/9374",2
"GO:0044272","sulfur compound biosynthetic process","2/6","182/18986",0.010989010989011,34.7728937728938,8.13976128727697,0.00133657684980085,0.0376469146027241,0.0166485888308527,"27010/9374",2
"GO:0043270","positive regulation of monoatomic ion transport","2/6","215/18986",0.00930232558139535,29.4356589147287,7.45541191156653,0.00185812214288777,0.0448603774497191,0.0198385973150424,"2273/154043",2
"GO:0072522","purine-containing compound biosynthetic process","2/6","263/18986",0.00760456273764259,24.063371356147,6.69646756072689,0.00276398360917783,0.0559306690929351,0.0247342105611859,"27010/9374",2
"GO:0042364","water-soluble vitamin biosynthetic process","1/6","12/18986",0.0833333333333333,263.694444444444,16.1843359586717,0.00378677869803168,0.0559306690929351,0.0247342105611859,"27010",1
"GO:1901293","nucleoside phosphate biosynthetic process","2/6","321/18986",0.00623052959501558,19.7154724818276,6.01273601039936,0.00408669750321787,0.0559306690929351,0.0247342105611859,"27010/9374",2
"GO:0006086","acetyl-CoA biosynthetic process from pyruvate","1/6","13/18986",0.0769230769230769,243.410256410256,15.5448840017236,0.00410180343334376,0.0559306690929351,0.0247342105611859,"27010",1
"GO:0098734","macromolecule depalmitoylation","1/6","14/18986",0.0714285714285714,226.02380952381,14.9750663226861,0.00441674514943502,0.0559306690929351,0.0247342105611859,"9374",1
"GO:0006790","sulfur compound metabolic process","2/6","338/18986",0.00591715976331361,18.723865877712,5.84565925593623,0.00452084389946907,0.0559306690929351,0.0247342105611859,"27010/9374",2
"GO:0042762","regulation of sulfur metabolic process","1/6","16/18986",0.0625,197.770833333333,13.9997368575328,0.00504637959396648,0.0559306690929351,0.0247342105611859,"27010",1
"GO:0060856","establishment of blood-brain barrier","1/6","16/18986",0.0625,197.770833333333,13.9997368575328,0.00504637959396648,0.0559306690929351,0.0247342105611859,"1365",1
"GO:0097094","craniofacial suture morphogenesis","1/6","19/18986",0.0526315789473684,166.543859649123,12.8358128640556,0.00599020905410586,0.0559306690929351,0.0247342105611859,"84314",1
"GO:1905048","regulation of metallopeptidase activity","1/6","19/18986",0.0526315789473684,166.543859649123,12.8358128640556,0.00599020905410586,0.0559306690929351,0.0247342105611859,"1365",1
"GO:0006085","acetyl-CoA biosynthetic process","1/6","20/18986",0.05,158.216666666667,12.5071549599529,0.00630465302234939,0.0559306690929351,0.0247342105611859,"27010",1
"GO:0010959","regulation of metal ion transport","2/6","408/18986",0.00490196078431373,15.5114379084967,5.26834093470127,0.00652562729192349,0.0559306690929351,0.0247342105611859,"2273/154043",2
"GO:0033137","negative regulation of peptidyl-serine phosphorylation","1/6","21/18986",0.0476190476190476,150.68253968254,12.2021733083299,0.00661901409383847,0.0559306690929351,0.0247342105611859,"154043",1
"GO:0016338","calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules","1/6","23/18986",0.0434782608695652,137.579710144928,11.6527761592344,0.0072474876164883,0.0578687578156619,0.0255912912171411,"1365",1
"GO:2000810","regulation of bicellular tight junction assembly","1/6","24/18986",0.0416666666666667,131.847222222222,11.4040963788298,0.00756160010260865,0.0578687578156619,0.0255912912171411,"1365",1
